Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
2014-08-16,3227.0,97.35,-27.13877700441034,585.0400586206538,-0.20598075499349874,False,False,0.0,False,True,0.0,0.0,-0.007052147746297321,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-17,3227.0,97.35,-27.187182854228904,580.3277491408162,-0.3098568342011509,False,False,0.0,False,False,0.0,0.0,-0.0008022765449924931,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-18,3227.0,97.35,-27.230867737298343,576.0750257740065,-0.39822044039477655,False,False,0.0,False,False,0.0,0.0,-0.0007235075958705533,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-19,3259.0,96.41,-27.32142971894084,624.9409607969137,0.6252421907939503,False,True,0.0,False,False,0.0,0.0,0.008292116996933286,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-20,3199.0,94.48,-27.401634719241624,610.0935517260514,0.29680952895884916,False,False,0.0,False,False,0.0,0.0,-0.002565246899470894,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-21,3221.0,96.07,-27.455336881664337,583.3657857785074,-0.27673365714591003,False,False,0.0,False,True,0.0,0.0,-0.004562115498295468,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-22,3198.0,93.96,-27.53351884420135,610.9505693988413,0.30177499420827525,False,True,0.0,False,False,0.0,0.0,0.004768288318232631,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-23,3196.0,93.65,-27.613151620999417,610.0283506934043,0.26828528545341346,False,False,0.0,False,False,0.0,0.0,-0.00015949900161609873,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-24,3196.0,93.65,-27.686451823431657,603.1637867356253,0.10864381142734854,False,False,0.0,False,False,0.0,0.0,-0.001185827980769207,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-25,3196.0,93.65,-27.753270374040728,596.9062294710857,-0.03820493278028354,False,False,0.0,False,True,0.0,0.0,-0.0010798025903157222,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-26,3221.0,93.35,-27.844075677666325,621.7555354898486,0.48063843322587074,False,True,0.0,False,False,0.0,0.0,0.004269460874072466,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-27,3220.0,93.86,-27.915690560281842,599.8332840119465,0.002107784106505846,False,False,0.0,False,False,0.0,0.0,-0.0037537030266426696,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-28,3216.0,93.88,-27.975671954617507,589.6439169005084,-0.2266651999624681,False,False,0.0,False,True,0.0,0.0,-0.001744051024365565,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-29,3218.0,94.55,-28.01454671238524,569.2246083439754,-0.6429191270273283,False,False,0.0,False,False,0.0,0.0,-0.003480499455556829,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-30,3219.0,95.96,-28.013526906208153,530.8219580802656,-1.4053155426970048,False,False,0.0,False,False,0.0,0.0,-0.006501014526934688,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-31,3219.0,95.96,-28.009324512480386,531.2252197823823,-1.3369303131141552,False,False,0.0,False,False,0.0,0.0,6.827104758881539e-05,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-09-01,3219.0,95.96,-28.005228069253945,531.6183144743914,-1.2788872277747534,False,False,0.0,False,False,0.0,0.0,6.655423115854566e-05,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-09-02,3219.0,95.83,-28.004791041206985,535.3008745211346,-1.1532543180315848,False,False,0.0,False,False,0.0,0.0,0.0006238773090851833,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-09-03,3155.0,92.88,-28.021532951321895,552.3600194812225,-0.8363590281458182,False,False,0.0,False,False,0.0,0.0,0.0029628710752683837,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-09-04,3136.0,95.54,-27.953517369311147,465.3209505360128,-2.5885330902884887,True,False,1.0,False,False,0.0,1.0,-0.014989474741719062,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
