Date,FC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_FC_pair,sharpe,CAGR
1995-09-10,65.75,65.42,-1.0096506101364229,-0.30134291512479194,0.8430228351056557,False,False,0.0,False,False,0.0,0.0,0.0012145587721842728,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-11,65.75,65.42,-1.0074470020915147,-0.15718287682689436,1.0004144104865813,False,False,0.0,False,False,0.0,0.0,0.0010949652358334893,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-12,65.7,64.87,-1.0060877295923336,0.4350889813453165,1.748236171235268,False,False,0.0,False,False,0.0,0.0,0.004522370561438762,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-13,65.6,64.7,-1.005056062243395,0.5728727728523353,1.3502322796647823,False,False,0.0,False,False,0.0,0.0,0.0010547869683103911,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-14,65.45,64.72,-1.0039476377175327,0.474508886921285,0.843696772213726,False,False,0.0,False,False,0.0,0.0,-0.0007541768491081926,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-15,65.3,64.57,-1.0029177724280407,0.5415994343214123,0.7281064677998221,False,False,0.0,False,False,0.0,0.0,0.0005158493961814259,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-16,65.27,64.7,-1.0017846936557924,0.45453032047022646,0.24890101181597757,False,False,0.0,False,False,0.0,0.0,-0.0006693223621799097,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-17,65.27,64.7,-1.000727186733987,0.5229510183110335,0.42141681794882657,False,False,0.0,False,False,0.0,0.0,0.0005262440455054717,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-18,65.27,64.7,-0.9997662086204215,0.5851263022587148,1.1435277439480052,False,False,0.0,False,False,0.0,0.0,0.000478437492789175,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-19,64.8,65.45,-0.9973947936574886,-0.4794892448826289,-2.027796396804184,True,False,1.0,False,True,0.0,1.0,-0.00818434599737042,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-20,64.8,64.95,-0.9956173468589019,0.13465332151432108,-0.3850723528903527,False,False,1.0,False,False,0.0,1.0,0.004743683017526783,0.004743683017526783,1.1554650913194666,1.1554650913194666,1.0854171707760347,0.0153
1995-09-21,64.7,64.45,-0.9945617550721908,0.6004948855972998,0.7089921587041961,False,True,0.0,False,False,0.0,0.0,0.0036167962265787235,0.0036167962265787235,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-22,64.8,65.2,-0.9929050230956716,0.06259249416220314,-0.415250635959322,False,False,0.0,False,True,0.0,0.0,-0.004152486928618324,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-23,64.9,65.67,-0.9908417597148798,-0.16857836047614683,-0.6885454947986369,False,False,0.0,False,False,0.0,0.0,-0.0017786672559976984,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-24,64.9,65.67,-0.9888863702721497,-0.040167935772061014,-0.1632106750693282,False,False,0.0,False,False,0.0,0.0,0.0009889884366724364,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-25,64.9,65.67,-0.987106925942009,0.07668817338827694,-0.13047802508844786,False,False,0.0,False,False,0.0,0.0,0.0009008104057390079,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-26,65.12,65.87,-0.9855266534845082,0.20335933497544545,0.3051807956175433,False,True,0.0,False,False,0.0,0.0,0.0009741189939955036,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-27,65.42,65.62,-0.9847735120185646,0.799162141341796,1.8984458637182222,False,False,0.0,False,False,0.0,0.0,0.004581659240106791,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-28,65.35,65.35,-0.9844441713063578,1.0165734051295203,1.4601925796460327,False,False,0.0,False,False,0.0,0.0,0.0016764768598142817,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-29,65.47,65.37,-0.9843270201065852,1.1245426956325133,1.1659604389238,False,False,0.0,False,False,0.0,0.0,0.0008317136706597764,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-09-30,64.72,64.95,-0.9838397406990881,0.8196088415942242,0.33819600043398007,False,False,0.0,False,False,0.0,0.0,-0.0023708049034211064,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-01,64.72,64.95,-0.9833359119319217,0.8523325200216831,0.15553213029010032,False,False,0.0,False,False,0.0,0.0,0.00025448535671240916,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-02,64.72,64.95,-0.9828695591841647,0.8826221309884943,-0.2595817380109337,False,False,0.0,False,True,0.0,0.0,0.00023561161147572226,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-03,64.12,63.92,-0.9829496053780422,1.289861224235544,1.594970554974834,False,True,0.0,False,False,0.0,0.0,0.0032078664676875026,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-04,64.45,63.92,-0.9835088752898229,1.5841126914745232,1.6256409679053174,False,False,0.0,False,False,0.0,0.0,0.002311192055127554,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-05,64.62,63.72,-0.9845459759617544,1.8847304117170154,1.4974255933029765,False,False,0.0,False,False,0.0,0.0,0.0023604655010690647,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-06,65.15,64.25,-0.9855848619839614,1.8261726175304815,0.9688028293547085,False,False,0.0,False,False,0.0,0.0,-0.00045579551399372534,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-07,65.47,64.47,-0.9866690616668423,1.8594455943386734,0.7632555392588539,False,False,0.0,False,False,0.0,0.0,0.0002577690881588942,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-08,65.47,64.47,-0.9876745310851125,1.7946229809427976,0.38223593376624093,False,False,0.0,False,False,0.0,0.0,-0.0005019352213150481,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-09,65.47,64.47,-0.98858880311599,1.735679863112125,-0.41197784310853625,False,False,0.0,False,True,0.0,0.0,-0.00045620082802358435,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-10,65.85,64.62,-0.9897014377961327,1.8954930896138933,1.0389186891942104,False,True,0.0,False,False,0.0,0.0,0.0012311839573652048,0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-11,65.82,65.57,-0.9895651889256974,0.9342105621420131,-2.0183072971836027,True,False,1.0,False,True,0.0,1.0,-0.007354552017980099,-0.0,1.1590818875460454,1.1590818875460454,1.0854171707760347,0.0153
1995-10-12,65.27,65.6,-0.9885419858618599,0.4216457274619927,-1.6568873211795996,False,False,1.0,False,False,0.0,1.0,-0.003939220085787692,-0.003939220085787692,1.1551426674602578,1.1551426674602578,1.0854171707760347,0.0153
1995-10-13,65.82,66.07,-0.9875738458549309,0.5709960043647158,-0.9883036344772335,False,False,1.0,False,False,0.0,1.0,0.0011394782316931054,0.0011394782316931054,1.1562821456919508,1.1562821456919508,1.0854171707760347,0.0153
1995-10-14,65.6,66.15,-0.9863280383520014,0.3544002630150942,-0.9341249621944411,False,False,1.0,False,False,0.0,1.0,-0.0016553536518232525,-0.0016553536518232525,1.1546267920401276,1.1546267920401276,1.0854171707760347,0.0153
1995-10-15,65.6,66.15,-0.9851432124063003,0.43277649932322504,-0.5685110804860368,False,False,1.0,False,False,0.0,1.0,0.0005993568893639866,0.0005993568893639866,1.1552261489294915,1.1552261489294915,1.0854171707760347,0.0153
1995-10-16,65.6,66.15,-0.9840645307912003,0.5041312881620854,-0.15451742583997155,False,False,1.0,False,False,0.0,1.0,0.0005459605536284051,0.0005459605536284051,1.15577210948312,1.15577210948312,1.0854171707760347,0.0153
1995-10-17,65.37,65.95,-0.9830492349065442,0.5379029579134169,0.8312411460873699,False,True,0.0,False,False,0.0,0.0,0.00025937884656661964,0.00025937884656661964,1.1560314883296865,1.1560314883296865,1.0854171707760347,0.0153
1995-10-18,65.6,65.82,-0.9825612826175272,0.9278163781143576,1.8784229175689184,False,False,0.0,False,False,0.0,0.0,0.0029930673560570878,0.0,1.1560314883296865,1.1560314883296865,1.0854171707760347,0.0153
