Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1993-03-10,345.1,10.74,-28.993009590400824,33.715076999095174,0.014194103583517706,False,True,0.0,False,False,0.0,0.0,0.004881175374997827,0.004881175374997827,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-11,345.6,10.74,-28.972589182900208,34.434392175651794,0.09445223286953258,False,False,0.0,False,False,0.0,0.0,0.0010952388005508967,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-12,349.3,10.74,-28.967117006944687,38.193163345414064,0.5124544410625231,False,False,0.0,False,False,0.0,0.0,0.005691599421960902,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-13,352.3,10.74,-28.978959814744947,41.065971589639275,0.8304226579090058,False,False,0.0,False,False,0.0,0.0,0.004329556769089364,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-14,352.3,10.74,-29.00163454233131,40.82244501536172,0.8009263642748863,False,False,0.0,False,False,0.0,0.0,-0.00036687979647517403,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-15,352.3,10.74,-29.03067134798177,40.510589722675775,0.7635800463736457,False,False,0.0,False,False,0.0,0.0,-0.00046959835205882426,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-16,353.4,10.74,-29.065786184979537,41.23345637331977,0.8413632743459746,False,False,0.0,False,False,0.0,0.0,0.0010860922285923274,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-17,349.0,10.74,-29.092783443549145,36.54350581628216,0.31789029900333904,False,False,0.0,False,False,0.0,0.0,-0.007090338666680296,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-18,348.2,10.74,-29.111801638433736,35.53925040322167,0.20482425859112433,False,False,0.0,False,False,0.0,0.0,-0.0015196172774268012,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-19,350.0,10.74,-29.129697192629912,37.14705215115475,0.3826301571840415,False,False,0.0,False,False,0.0,0.0,0.00242557833249573,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-20,354.5,10.74,-29.157724474308942,41.346039145921964,0.8477912164135128,False,False,0.0,False,False,0.0,0.0,0.006289166605700611,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-21,354.5,10.74,-29.191515350473594,40.98312513591361,0.8055124998333748,False,False,0.0,False,False,0.0,0.0,-0.0005432707221388548,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-22,354.5,10.74,-29.228098147584912,40.590225894938044,0.7597529941486022,False,False,0.0,False,False,0.0,0.0,-0.0005878119324356407,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-23,356.1,10.74,-29.26951793049534,41.74537742648005,0.8857155301399124,False,False,0.0,False,False,0.0,0.0,0.0017229376793734207,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-24,359.3,10.74,-29.32099784851306,44.392483106969735,1.1762326080663839,False,False,0.0,False,False,0.0,0.0,0.003926247652486018,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-25,360.9,10.74,-29.381591805013617,45.34170401415372,1.2774369650823187,False,False,0.0,False,False,0.0,0.0,0.001403221621815761,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-26,357.0,10.74,-29.43655896164398,40.85135675194368,0.7776239844656074,False,False,0.0,False,False,0.0,0.0,-0.006670662278309513,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-27,356.8,10.74,-29.485894509028,40.12149297303927,0.6949542672379133,False,False,0.0,False,False,0.0,0.0,-0.0010837224518513082,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-28,356.8,10.74,-29.53025371644145,39.64507508541885,0.639639516966337,False,False,0.0,False,False,0.0,0.0,-0.0007068987405660647,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-29,356.8,10.74,-29.570194427449415,39.21611184919328,0.5895472392501382,False,False,0.0,False,False,0.0,0.0,-0.0006360816795339048,-0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
1993-03-30,358.6,10.74,-29.610742638047693,40.58062406736781,0.73855744453499,False,False,0.0,False,False,0.0,0.0,0.0020166614594708016,0.0,1.0688166061849924,1.0688166061849924,1.0425251197289018,0.0436
