Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
7/8/91,96.75,97.5,96.5,97,,97,52,3035
7/9/91,96.6,96.6,94.5,95.65,,95.65,274,3003
7/10/91,95.75,96,95,95.2,,95.2,214,2884
7/11/91,95,95.25,94.2,94.7,,94.7,116,2834
7/12/91,94.5,96,94.5,95.2,,95.2,95,2849
7/15/91,95.5,95.5,94.75,95.1,,95.1,80,2818
7/16/91,95,95.25,94.75,95,,95,239,2445
7/17/91,95.75,96.5,94.75,95.2,,95.2,431,2955
7/18/91,95.3,96,95.1,95.45,,95.45,146,2869
7/19/91,95.05,96.25,95,95.85,,95.85,112,2884
7/22/91,95.75,95.75,94.75,95.1,,95.1,155,2766
